Fish #,No.cells,Strain,Stain,Time
305,20,tet2 -/-,pu.1,36 hpf
306,23,tet2 -/-,pu.1,36 hpf
307,29,tet2 -/-,pu.1,36 hpf
308,11,tet2 -/-,pu.1,36 hpf
309,13,tet2 -/-,pu.1,36 hpf
310,21,tet2 -/-,pu.1,36 hpf
311,28,tet2 -/-,pu.1,36 hpf
312,13,tet2 -/-,pu.1,36 hpf
313,31,tet2 -/-,pu.1,36 hpf
314,26,tet2 -/-,pu.1,36 hpf
315,11,tet2 -/-,pu.1,36 hpf
316,10,tet2 -/-,pu.1,36 hpf
317,15,tet2 -/-,pu.1,36 hpf
318,24,tet2 wt/wt,pu.1,24 hpf
319,32,tet2 wt/wt,pu.1,24 hpf
320,30,tet2 wt/wt,pu.1,24 hpf
321,17,tet2 wt/wt,pu.1,24 hpf
322,24,tet2 wt/wt,pu.1,24 hpf
323,26,tet2 wt/wt,pu.1,24 hpf
324,36,tet2 wt/wt,pu.1,24 hpf
325,12,tet2 wt/wt,pu.1,24 hpf
326,50,tet2 wt/wt,pu.1,24 hpf
327,25,tet2 wt/wt,pu.1,24 hpf
328,30,tet2 wt/wt,pu.1,24 hpf
329,33,tet2 wt/wt,pu.1,24 hpf
330,34,tet2 wt/wt,pu.1,24 hpf
331,28,tet2 wt/wt,pu.1,24 hpf
332,19,tet2 wt/wt,pu.1,24 hpf
333,31,tet2 wt/wt,pu.1,24 hpf
334,27,tet2 wt/wt,pu.1,24 hpf
335,20,tet2 wt/wt,pu.1,24 hpf
336,25,tet2 wt/wt,pu.1,24 hpf
337,32,tet2 wt/wt,pu.1,24 hpf
338,20,tet2 wt/wt,pu.1,24 hpf
339,36,tet2 wt/wt,pu.1,24 hpf
340,46,tet2 wt/wt,pu.1,24 hpf
341,18,tet2 wt/wt,pu.1,24 hpf
342,28,tet2 wt/wt,pu.1,24 hpf
343,30,tet2 wt/wt,pu.1,24 hpf
344,24,tet2 wt/wt,pu.1,24 hpf
345,18,tet2 wt/wt,pu.1,24 hpf
